pillar,sub_pillar,title,description,doc_type,code,url,industry,status,effective_date
Business Operations,Business Operations,Letter to RSE licensees: Implementation of the retirement income covenant,This 2022 letter provides guidance on the retirement income covenant. It relates to strategic planning and member outcomes.,Letter,,https://qa.handbook.apra.gov.au/letter/618/letter-rse-licensees-implementation-retirement-income-covenant,Superannuation,Current,7 March 2022
Risk Management,Credit Risk,Letter to locally incorporated ADIs: Credit risk provisioning practices,This 2023 letter provides guidance on expected credit loss provisioning for ADIs that do not use prescribed provisioning. It relates to credit risk management.,Letter,,https://qa.handbook.apra.gov.au/letter/987/letter-locally-incorporated-adis-credit-risk-provisioning-practices,Banking,Current,19 October 2023
Risk Management,Credit Risk,Letter to life insurers: Premium increases in life insurance,This 2023 letter outlines findings from an APRA and ASIC joint review of life companies' practices in relation to premium increases.,Letter,,https://qa.handbook.apra.gov.au/letter/1017/letter-life-insurers-premium-increases-life-insurance,Life insurance,Current,14 December 2023
Governance,Board,Letter to ADIs: Operation of foreign banks in Australia,This 2013 letter provides guidance on activities that foreign ADIs may carry out in Australia.,Letter,,https://qa.handbook.apra.gov.au/letter/170/letter-adis-operation-foreign-banks-australia,Banking,Current,23 September 2013
Risk Management,Credit Risk,Letter to ADIs: Housing lending standards,This 2023 letter sets out APRA’s expectations for banks in managing exceptions to housing lending policy.,Letter,,https://qa.handbook.apra.gov.au/letter/935/letter-adis-housing-lending-standards,Banking,Current,9 June 2023
Financial Resilience,Capital,Letter to general insurers and life companies: Internal capital adequacy assessment process report feedback,This 2014 letter provides feedback from APRA's review of ICAAP Summary Statements. It relates to capital.,Letter,,https://qa.handbook.apra.gov.au/letter/206/letter-general-insurers-and-life-companies-internal-capital-adequacy-assessment-process,"General insurance, Life insurance",Current,3 October 2014
Financial Resilience,Capital,Letter to general insurers: Recognising potential reinsurance recoverables from aggregate reinsurance cover,This 2015 letter provides guidance on aggregate reinsurance cover. It relates to capital.,Letter,,https://qa.handbook.apra.gov.au/letter/227/letter-general-insurers-recognising-potential-reinsurance-recoverables-aggregate,General insurance,Current,28 April 2015
Governance,Accountability,Letter to all entities: Clarification of fit and proper requirements,This 2015 letter provides guidance on entities' fitness and propriety assessments. It relates to governance.,Letter,,https://qa.handbook.apra.gov.au/letter/219/letter-all-entities-clarification-fit-and-proper-requirements,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,18 February 2015
Governance,Board,"Letter to ADIs, general insurers and life insurers: Review of board requirements",This 2015 letter provides feedback from APRA's review of board requirements. It relates to governance.,Letter,,https://qa.handbook.apra.gov.au/letter/245/letter-adis-general-insurers-and-life-insurers-review-board-requirements,"Banking, General insurance, Life insurance",Current,28 August 2015
Business Operations,Business Operations,Letter to life insurers: claims oversight and governance,This 2016 letter provides feedback from APRA's review of group insurance claims management. It relates to governance and risk management.,Letter,,https://qa.handbook.apra.gov.au/letter/278/letter-life-insurers-claims-oversight-and-governance,"Life insurance, Superannuation",Current,12 October 2016
Business Operations,Business Operations,Letter to RSE licensees: Member outcomes and design and distribution obligations,This 2020 letter provides guidance on member outcomes and design and distribution obligations. It relates to Business Operations.,Letter,,https://qa.handbook.apra.gov.au/letter/473/letter-rse-licensees-member-outcomes-and-design-and-distribution-obligations,Superannuation,Current,15 December 2020
Financial Resilience,Capital,Letter to ADIs: scrutiny of securitisation practices | APRA,This 2020 letter provides feedback from APRA's review of securitisation practices. It relates to risk management and capital.,Letter,,https://qa.handbook.apra.gov.au/letter/467/letter-adis-scrutiny-securitisation-practices-apra,Banking,Current,7 December 2020
Business Operations,Business Operations,"Letter to RSE licensees: Implementation of Your Future, Your Super reforms","This 2021 letter provides guidance on APRA's role in the Your Future, Your Super reforms. It relates to investment risk management.",Letter,,https://qa.handbook.apra.gov.au/letter/516/letter-rse-licensees-implementation-your-future-your-super-reforms,Superannuation,Current,30 July 2021
Risk Management,Risk Management,Letter to ADIs: Membership of Central counterparties,This 2013 letter provides guidance on managing ADIs' central counterparty membership. It relates to risk management and capital.,Letter,,https://qa.handbook.apra.gov.au/letter/159/letter-adis-membership-central-counterparties,Banking,Current,4 June 2013
Financial Resilience,Capital,Letter to general insurers: Catastrophe risk governance and management,"This 2013 letter provides feedback from APRA's review of general insurers' catastrophe risk management. It relates to governance, risk management and capital.",Letter,,https://qa.handbook.apra.gov.au/letter/187/letter-general-insurers-catastrophe-risk-governance-and-management,General insurance,Current,19 December 2013
Financial Resilience,Capital,Consultation: Revisions to the capital framework for authorised deposit-taking institutions,APRA is consulting on revisions to the capital framework for authorised deposit-taking institutions (ADIs) to implement ‘unquestionably strong’ capital ratios and the Basel III reforms.,Letter,,https://qa.handbook.apra.gov.au/letter/9991/consultation-revisions-capital-framework-authorised-deposit-taking-institutions,Banking,Current,1 March 2024
Governance,Board,Consultation: Minor updates to the prudential framework for ADIs and insurers,"This page contains relevant information on APRA's proposed minor updates to the prudential framework for authorised deposit-taking institutions and general, life and private health insurers.",Letter,,https://qa.handbook.apra.gov.au/letter/100001/consultation-minor-updates-prudential-framework-adis-and-insurers,"Banking, General insurance, Life insurance, Private health insurance",Current,4 April 2024
Financial Resilience,Capital,Letter to general insurers and life insurers: ICAAP Reports,This 2014 letter provides feedback from APRA's review of insurers' ICAAP Reports. It relates to capital.,Letter,,https://qa.handbook.apra.gov.au/letter/185/letter-general-insurers-and-life-insurers-icaap-reports,"General insurance, Life insurance",Current,1 December 2013
Risk Management,Risk Management,Letter to RSE licensees: Risk management declaration,This 2014 letter provides guidance on an RSE licensee's annual risk management declarations. It relates to governance and risk management.,Letter,,https://qa.handbook.apra.gov.au/letter/204/letter-rse-licensees-risk-management-declaration,Superannuation,Current,1 October 2014
Financial Resilience,Capital,"Letter to ADIs, general insurers and life insurers: Tax event call provisions in capital instruments",This 2014 letter provides guidance on tax event call provisions in capital instruments. It relates to capital.,Letter,,https://qa.handbook.apra.gov.au/letter/201/letter-adis-general-insurers-and-life-insurers-tax-event-call-provisions-capital,Banking,Current,19 August 2014
Governance,Board,Letter to life insurers and RSE licencees: Sustainability of life insurance in superannuation,This 2023 letter provides guidance on sustainability risks from group life insurance in superannuation. It relates to risk management.,Letter,,https://handbook.apra.gov.au/letter/1016/letter-life-insurers-and-rse-licencees-sustainability-life-insurance-superannuation,"Life insurance, Superannuation",Current,7 December 2023
Risk Management,Insurance Risk,Letter to life insurers: Sustainability measures for individual disability income insurance,This 2019 letter provides guidance on sustainability risks in individual disability income insurance (IDII). It relates to capital and risk management.,Letter,,https://handbook.apra.gov.au/letter/409/letter-life-insurers-sustainability-measures-individual-disability-income-insurance,Life insurance,Current,2 December 2019
,,Consultation: Minor updates to the prudential framework H2 2024,"On 6 September, APRA released for consultation proposed minor amendments to the prudential framework for authorised deposit taking institutions, insurers and registrable superannuation entity licensees.",Letter,,https://handbook.apra.gov.au/letter/9999/consultation-minor-updates-prudential-framework-h2-2024,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,6 September 2024
Business Operations,Business Operations,Letter to RSE licensees and life insurers: Sustainability of life insurance in superannuation,This 2021 letter provides guidance on sustainability risks from group life insurance in superannuation. It relates to risk management.,Letter,,https://qa.handbook.apra.gov.au/letter/482/letter-rse-licensees-and-life-insurers-sustainability-life-insurance-superannuation-0,"Life insurance, Superannuation",Current,9 March 2021
Risk Management,Risk Management,Letter to RSE licensees: Risk management declarations under SPS 220 Risk Management,This 2020 letter confirms APRA's 2014 guidance on RSE licensees' annual risk management declarations. It relates to governance and risk management.,Letter,,https://qa.handbook.apra.gov.au/letter/447/letter-rse-licensees-risk-management-declarations-under-sps-220-risk-management,Superannuation,Current,20 August 2020
Risk Management,Operational Risk,Letter to RSE licencees: Offshoring consultation requirements – Investment management agreements,This letter sets the expectation on how RSE licencees should consult with APRA when outsourcing functions offshore.,Letter,,https://qa.handbook.apra.gov.au/letter/1032/letter-rse-licencees-offshoring-consultation-requirements-investment-management,Superannuation,Current,5 July 2017
Risk Management,Credit Risk,Letter to ADIs: Indemnities in divestments,This 2021 letter provides guidance on ADIs' risks from indemnities in divestment transactions. It relates to risk management and capital.,Letter,,https://qa.handbook.apra.gov.au/letter/488/letter-adis-indemnities-divestments,Banking,Current,22 March 2021
Financial Resilience,Capital,Letter to health insurers: APRA’s observations on the implementation of the new PHI capital framework,This 2024 letter summarises findings from a review of ICAAP statements from health insurers,Letter,,https://handbook.apra.gov.au/letter/1040/letter-health-insurers-apras-observations-implementation-new-phi-capital-framework,Private health insurance,Current,9 May 2024
Risk Management,Operational Risk,Letter to all entities: Security and adequacy of backups,This 2024 letter highlights the importance of reviewing backup practices as a protection against data loss,Letter,,https://handbook.apra.gov.au/letter/1039/letter-all-entities-security-and-adequacy-backups,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,3 June 2024
Financial Resilience,Liquidity,Consultation: Proposed changes to liquidity and capital requirements for authorised deposit-taking institutions,This page contains information regarding APRA's consultation on targeted changes to liquidity and capital requirements aimed at strengthening the banking sector’s resilience to future stress.,Letter,,https://handbook.apra.gov.au/letter/100002/consultation-proposed-changes-liquidity-and-capital-requirements-authorised-deposit,Banking,Current,15 November 2023
Financial Resilience,Liquidity,Letter to locally incorporated LCR ADIs: Aggregate Committed Liquidity Facility,This 2023 letter notifies ADIs that the Committed Liquidity Facility has been phased out. It relates to liquidity.,Letter,,https://handbook.apra.gov.au/letter/996/letter-locally-incorporated-lcr-adis-aggregate-committed-liquidity-facility,Banking,Current,9 January 2023
,,Consultation: Targeted adjustments to General Insurance Reinsurance settings,"On 7 November, APRA released for consultation proposed targeted adjustments to General Insurance Reinsurance settings for general insurers and reinsurers.",Letter,,https://handbook.apra.gov.au/letter/9999/consultation-targeted-adjustments-general-insurance-reinsurance-settings,General insurance,Current,7 November 2024
Financial Resilience,Capital,Letter to private health insurers: Financial sustainability challenges,This 2019 letter provides feedback from APRA's review of industry sustainability challenges in private health insurance. It relates to risk management.,Letter,,https://handbook.apra.gov.au/letter/382/letter-private-health-insurers-financial-sustainability-challenges,Private health insurance,Current,1 June 2019
,,Letter to private health insurers: Risk management thematic review,This 2017 letter provides feedback from APRA's review of private health insurers' risk governance and operational risk management.,Letter,,https://handbook.apra.gov.au/letter/306/letter-private-health-insurers-risk-management-thematic-review,Private health insurance,Current,4 July 2017
Financial Resilience,Capital,Letter to life insurers: Interpretation of APRA capital adequacy standards,This 2013 letter provides guidance to insurers and appointed actuaries on APRA's capital standards.,Letter,,https://qa.handbook.apra.gov.au/letter/174/letter-life-insurers-interpretation-apra-capital-adequacy-standards,Life insurance,Current,1 October 2013
Governance,Disclosure,Letter to general insurers and life insurers: Public disclosure for prudential purposes,This 2015 letter provides guidance on improving general insurers' and life insurers' public disclosures. It relates to governance.,Letter,,https://qa.handbook.apra.gov.au/letter/233/letter-general-insurers-and-life-insurers-public-disclosure-prudential-purposes,"General insurance, Life insurance",Current,1 June 2015
Risk Management,Credit Risk,Letter to ADIs: Commercial property lending,This 2017 letter provides feedback from APRA's review of ADIs' commercial property lending practices. It relates to credit risk management.,Letter,,https://qa.handbook.apra.gov.au/letter/289/letter-adis-commercial-property-lending,Banking,Current,7 March 2017
Risk Management,Insurance Risk,Letter to life insurers: Group insurance,"This 2015 letter provides feedback from APRA's review of group insurance management. It relates to governance, risk management and capital.",Letter,,https://qa.handbook.apra.gov.au/letter/228/letter-life-insurers-group-insurance,Life insurance,Current,18 May 2015
Financial Resilience,Capital,Letter to life insurers: Final individual disability income insurance sustainability measures,This 2020 letter provides guidance on individual disability income insurance (IDII). It relates to risk management.,Letter,,https://qa.handbook.apra.gov.au/letter/454/letter-life-insurers-final-individual-disability-income-insurance-sustainability,Life insurance,Current,30 September 2020
Financial Resilience,Capital,Letter to ADIs: Market risk modelling,This 2021 letter provides guidance on modelling market risks not in VAR. It relates to market risk.,Letter,,https://qa.handbook.apra.gov.au/letter/506/letter-adis-market-risk-modelling,Banking,Current,18 May 2021
Financial Resilience,Capital,Letter to ADIs: Finalising loss-absorbing capacity requirements for domestic systemically important banks,This 2021 letter provides guidance on capital requirements for domestic systemically important banks (D-SIBs). It relates to capital and resolution.,Letter,,https://qa.handbook.apra.gov.au/letter/578/letter-adis-finalising-loss-absorbing-capacity-requirements-domestic-systemically,Banking,Current,2 December 2021
Risk Management,Credit Risk,Letter to ADIs: Provisions for regulatory purposes and AASB 9 Financial Instruments,This 2017 letter provides guidance on provisioning for expected credit loss (ECL). It relates to capital.,Letter,,https://qa.handbook.apra.gov.au/letter/305/letter-adis-provisions-regulatory-purposes-and-aasb-9-financial-instruments,Banking,Current,4 July 2017
Risk Management,Credit Risk,Letter to ADIs: Exposure to third-party lenders including peer to peer lenders,"This 2019 letter provides feedback from APRA's review of third-party (including peer-to-peer) lending. It relates to risk management, capital and reporting.",Letter,,https://qa.handbook.apra.gov.au/letter/358/letter-adis-exposure-third-party-lenders-including-peer-peer-lenders,Banking,Current,25 March 2019
Risk Management,Insurance Risk,Letter to life insurers: Thematic review of individual disability income insurance,This 2019 letter provides feedback from APRA's review of individual disability income insurance management. It relates to governance and risk management.,Letter,,https://qa.handbook.apra.gov.au/letter/372/letter-life-insurers-thematic-review-individual-disability-income-insurance,Life insurance,Current,1 May 2019
Financial Resilience,Capital,Letter to ADIs: Capital treatment of investments in the Australian Business Growth Fund,This 2019 letter provides guidance on the capital treatment of ADIs' investments in the Australian Business Growth Fund. It relates to capital.,Letter,,https://qa.handbook.apra.gov.au/letter/410/letter-adis-capital-treatment-investments-australian-business-growth-fund,Banking,Current,9 December 2019
Risk Management,Credit Risk,Letter to ADIs: Stress testing assessment,"This 2020 letter provides feedback from APRA's review of ADIs' stress-testing capabilities. It relates to risk management, capital and resolution.",Letter,,https://qa.handbook.apra.gov.au/letter/420/letter-adis-stress-testing-assessment,Banking,Current,21 February 2020
Risk Management,Risk Management,Letter to life insurers: Individual disability income insurance: deferral of implementation of the policy contract term measure,This 2022 letter provides guidance on individual disability income insurance. It relates to risk management.,Letter,,https://qa.handbook.apra.gov.au/letter/635/letter-life-insurers-individual-disability-income-insurance-deferral-implementation,Life insurance,Current,24 March 2022
Risk Management,Risk Management,Letter to all entities: Crypto-assets risk management expectations and policy roadmap,This 2022 letter provides guidance on risks from crypto-assets. It relates to operational risk management and capital.,Letter,,https://qa.handbook.apra.gov.au/letter/645/letter-all-entities-crypto-assets-risk-management-expectations-and-policy-roadmap,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,21 April 2022
Risk Management,Operational Risk,Letter to life insurers: Approval of reinsurance arrangements under LPS 230 Reinsurance,This 2017 letter provides guidance on reinsurance arrangements that require APRA's approval. It relates to insurance risk management.,Letter,,https://qa.handbook.apra.gov.au/letter/301/letter-life-insurers-approval-reinsurance-arrangements-under-lps-230-reinsurance,Life insurance,Current,30 June 2017
Financial Resilience,Capital,Letter to ADIs: Regulatory capital treatment for securitisation,This 2010 letter provides feedback from APRA's review of ADIs' self-assessments against APS 120 Securitisation. It relates to capital.,Letter,,https://qa.handbook.apra.gov.au/letter/67/letter-adis-regulatory-capital-treatment-securitisation,Banking,Current,26 August 2010
Financial Resilience,Capital,Letter to ADIs: A more effective capital framework for a crisis: Update,This 2024 letter provides guidance for ADIs on issuing Additional Tier 1 Capital instruments. It relates to capital.,Letter,,https://handbook.apra.gov.au/letter/1072/letter-adis-more-effective-capital-framework-crisis-update,Banking,Current,9 December 2024
Governance,Definitions,Letter to ADIs: Composition of a Level 2 ADI group,This 2014 letter provides guidance on the composition of an ADI's Level 2 group. It relates to capital.,Letter,,https://handbook.apra.gov.au/letter/197/letter-adis-composition-level-2-adi-group,Banking,Current,19 May 2014
,,Letter to ADIs: Operation of foreign banks in Australia,This 2011 letter provides guidance on activities that foreign ADIs may carry out in Australia.,Letter,,https://handbook.apra.gov.au/letter/89/letter-adis-operation-foreign-banks-australia,Banking,Current,14 April 2011
Governance,Remuneration,Letter to all entities: Findings from CPS 511 pre-implementation review,This letter sets out the results of review conducted in preparation for the implementation of CPS 511,Letter,,https://handbook.apra.gov.au/letter/959/letter-all-entities-findings-cps-511-pre-implementation-review,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,6 September 2023
Risk Management,Operational Risk,Letter to RSE licensees: Information Security Obligations and Critical Authentication Controls,This 2025 letter provides guidance on cyber risk to superannuation industry.,Letter,,https://handbook.apra.gov.au/letter/1089/letter-rse-licensees-information-security-obligations-and-critical-authentication,Superannuation,Current,10 June 2025
Governance,Audit,Consultation: Audit consequential amendments – superannuation,"This page contains APRA’s consultation on minor and consequential amendments to the superannuation prudential framework affecting audit, governance and fitness and propriety.",Letter,,https://handbook.apra.gov.au/letter/9999/consultation-audit-consequential-amendments-superannuation,Superannuation,Superseded,28 February 2024
Business Operations,Business Operations,Letter to RSE licensees: Sole purpose test,This 2001 circular provides guidance on the sole purpose test in superannuation. It relates to strategic and legal requirements.,Letter,,https://handbook.apra.gov.au/letter/1/letter-rse-licensees-sole-purpose-test,Superannuation,Superseded,28 February 2001
Governance,Board,"Transforming Governance, Culture, Remuneration and Accountability: APRA's Approach","This 2019 information paper explains APRA's strategy for supervising entities' governance, culture, remuneration and accountability.",Information paper,,https://qa.handbook.apra.gov.au/information-paper/399/transforming-governance-culture-remuneration-and-accountability-apras,Banking,Current,19 November 2019
Governance,Board,Financial Accountability Regime: ADI accountability statement guidance and template,This 2023 paper provides guidance for ADIs on setting up an accountability statements under the Financial Accountability Regime Act.,Information paper,,https://qa.handbook.apra.gov.au/information-paper/1028/financial-accountability-regime-adi-accountability-statement-guidance-and,Banking,Current,3 October 2023
Risk Management,Risk Management,Climate Change: Awareness to Action,This 2019 information paper describes the results of APRA's survey of selected entities' preparedness for the risks of climate change.,Information paper,,https://qa.handbook.apra.gov.au/information-paper/353/climate-change-awareness-action,Banking,Current,20 March 2019
Governance,Board,ADI key functions descriptions,This informationpaper sets out key functions for ADIs for the purposes of the Financial Accountability Regime,Information paper,,https://qa.handbook.apra.gov.au/information-paper/1031/adi-key-functions-descriptions,Banking,Current,8 March 2024
Financial Resilience,Capital,Asset Risk Charge,This 2013 information paper provides guidance to general insurers and life insurers on calculating the asset risk charge.,Information paper,,https://qa.handbook.apra.gov.au/information-paper/147/asset-risk-charge-0,"General insurance, Life insurance",Current,1 March 2013
Governance,Board,An Aid for Directors of ADIs and Insurers,This 2014 paper provides guidance on APRA's requirements for boards and management.,Information paper,,https://qa.handbook.apra.gov.au/information-paper/203/aid-directors-adis-and-insurers-0,Banking,Current,1 October 2014
Risk Management,Risk Management,Risk Culture,This 2016 information paper explains APRA's approach to risk culture.,Information paper,,https://qa.handbook.apra.gov.au/information-paper/277/risk-culture,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,1 October 2016
Business Operations,Business Operations,Unit pricing: Guide to good practice,This 2008 guide provides feedback from APRA and ASIC's review of unit pricing practices. It relates to operational risk.,Information paper,,https://qa.handbook.apra.gov.au/information-paper/40/unit-pricing-guide-good-practice,Superannuation,Current,1 August 2008
Risk Management,Operational Risk,Pandemic Planning,This 2006 information paper discusses the risks and impact of a pandemic.,Information paper,,https://qa.handbook.apra.gov.au/information-paper/19/pandemic-planning,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,1 October 2006
Governance,Board,Joint Administration Agreement between the Australian Prudential Regulation Authority and the Australian Securities and Investments Commission,This information paper outlines the approach to implementing the FAR regulations and delineation of responsibility between APRA and ASIC,Information paper,,https://handbook.apra.gov.au/information-paper/1027/joint-administration-agreement-between-australian-prudential-regulation,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,3 October 2023
Risk Management,Credit Risk,Update on Macroprudential Settings,This 2023 update describes APRA's decision about its macroprudential policy settings.,Information paper,,https://handbook.apra.gov.au/information-paper/997/update-macroprudential-settings,Banking,Current,15 December 2023
Governance,Board,Implementation of the Banking Executive Accountability Regime (BEAR),This 2020 information paper provides guidance to ADIs on implementing the Banking Executive Accountability Regime.,Information paper,,https://qa.handbook.apra.gov.au/information-paper/471/implementation-banking-executive-accountability-regime-bear-1,Banking,Current,11 December 2020
Financial Resilience,Capital,Strengthening Banking System Resilience - Establishing Unquestionably Strong Capital Ratios,This 2017 information paper explains APRA's reasons for the amounts needed for 'unquestionably strong' capital ratios in the Australian banking sector.,Information paper,,https://qa.handbook.apra.gov.au/information-paper/309/strengthening-banking-system-resilience-establishing-unquestionably-strong,Banking,Current,19 July 2017
Recovery and Resolution,Resolution,Financial Claims Scheme for Authorised Deposit-Taking Institutions,This 2012 information paper provides guidance to ADIs about APS 910 Financial Claims Scheme.,Information paper,,https://qa.handbook.apra.gov.au/information-paper/140/financial-claims-scheme-authorised-deposit-taking-institutions,Banking,Current,7 November 2012
Risk Management,Credit Risk,Macroprudential Policy Framework,This 2021 information paper describes APRA's objectives and approach to using macroprudential measures.,Information paper,,https://qa.handbook.apra.gov.au/information-paper/545/macroprudential-policy-framework,Banking,Current,11 November 2021
Governance,Board,ADIs: Transitioning to the Financial Accountability Regime,This 2023 paper provides guidance for ADIs transitioning from the BEAR regime to the FAR regime,Information paper,,https://qa.handbook.apra.gov.au/information-paper/1026/adis-transitioning-financial-accountability-regime,Banking,Current,3 October 2023
Financial Resilience,Capital,An Unquestionably Strong Framework for Bank Capital,This 2021 information paper describes the objectives and key features of APRA's capital framework for ADIs.,Information paper,,https://handbook.apra.gov.au/information-paper/566/unquestionably-strong-framework-bank-capital,Banking,Current,29 November 2021
Risk Management,Operational Risk,Outsourcing Involving Cloud Computing Services,This 2018 information paper provides guidance to entities on managing risks from cloud computing services.,Information paper,,https://handbook.apra.gov.au/information-paper/887/outsourcing-involving-cloud-computing-services,"Banking, General insurance, Life insurance",Superseded,18 February 2025
Business Operations,Business Operations,SPS 160 Defined Benefit Matters,SPS 160 Defined Benefit Matters requires RSE licensees of defined benefit funds to ensure fund assets can meet fund liabilities when they are due.,Prudential standard,SPS 160,https://handbook.apra.gov.au/standard/sps-160,Superannuation,Current,1 July 2013
Business Operations,Business Operations,SPS 530 Investment Governance,SPS 530 Investment Governance requires RSE licensees to have an investment governance framework.,Prudential standard,SPS 530,https://handbook.apra.gov.au/standard/sps-530,Superannuation,Current,1 January 2023
Business Operations,Business Operations,SPS 250 Insurance in Superannuation,SPS 250 Insurance in Superannuation requires RSE licensees to have an insurance management framework.,Prudential standard,SPS 250,https://handbook.apra.gov.au/standard/sps-250,Superannuation,Current,1 July 2022
Financial Resilience,Capital,HPS 110 Capital Adequacy,HPS 110 Capital Adequacy requires private health insurers maintain adequate capital for various risks.,Prudential standard,HPS 110,https://handbook.apra.gov.au/standard/hps-110,Private health insurance,Current,1 January 2025
Financial Resilience,Capital,GPS 112 Capital Adequacy: Measurement of Capital,GPS 112 Measurement of Capital requires general insurers to ensure their capital base meets prescribed criteria.,Prudential standard,GPS 112,https://handbook.apra.gov.au/standard/gps-112,General insurance,Current,1 July 2023
Financial Resilience,Capital,GPS 114 Capital Adequacy: Asset Risk Charge,GPS 114 Capital Adequacy: Asset Risk Charge requires general insurers and level 2 insurance groups to maintain adequate capital for their asset risks.,Prudential standard,GPS 114,https://handbook.apra.gov.au/standard/gps-114,General insurance,Current,1 July 2023
Financial Resilience,Capital,GPS 115 Capital Adequacy: Insurance Risk Charge,GPS 115 Insurance Risk Charge requires general insurers to maintain adequate capital for their insurance risks.,Prudential standard,GPS 115,https://handbook.apra.gov.au/standard/gps-115,General insurance,Current,1 July 2023
