pillar,sub_pillar,title,description,doc_type,code,url,industry,status,effective_date
Financial Resilience,Capital,GPS 117 Capital Adequacy: Asset Concentration Risk Charge,GPS 117 Capital Adequacy: Asset Concentration Risk Charge requires general insurers to maintain adequate capital for their asset concentration risk.,Prudential standard,GPS 117,https://handbook.apra.gov.au/standard/gps-117,General insurance,Current,1 July 2023
Financial Resilience,Capital,GPS 118 Capital Adequacy: Operational Risk Charge,GPS 118 Capital Adequacy: Operational Risk Charge requires general insurers and level 2 insurance groups to maintain adequate capital for operational risks.,Prudential standard,GPS 118,https://handbook.apra.gov.au/standard/gps-118,General insurance,Current,1 July 2023
Financial Resilience,Capital,GPS 116 Capital Adequacy: Insurance Concentration Risk Charge,GPS 116 Capital Adequacy: Insurance Concentration Risk Charge requires general insurers to manage these risks.,Prudential standard,GPS 116,https://handbook.apra.gov.au/standard/gps-116,General insurance,Current,1 July 2023
Financial Resilience,Capital,LPS 117 Capital Adequacy: Asset Concentration Risk Charge,LPS 117 Capital Adequacy: Asset Concentration Risk Charge requires life insurers to maintain adequate capital for its asset concentration risks.,Prudential standard,LPS 117,https://handbook.apra.gov.au/standard/lps-117,Life insurance,Current,1 October 2024
Financial Resilience,Capital,LPS 118 Capital Adequacy:  Operational Risk Charge,LPS 118 Capital Adequacy: Operational Risk Charge requires life insurers to maintain adequate capital for their operational risks.,Prudential standard,LPS 118,https://handbook.apra.gov.au/standard/lps-118,Life insurance,Current,1 July 2023
Financial Resilience,Capital,LPS 114 Capital Adequacy: Asset Risk Charge,LPS 114 Capital Adequacy: Asset Risk Charge requires life insurers to maintain adequate capital for their asset risks.,Prudential standard,LPS 114,https://handbook.apra.gov.au/standard/lps-114,Life insurance,Current,1 July 2023
Financial Resilience,Capital,LPS 115 Capital Adequacy: Insurance Risk Charge,LPS 115 Capital Adequacy: Insurance Risk Charge requires life insurers to maintain adequate capital for their insurance risks.,Prudential standard,LPS 115,https://handbook.apra.gov.au/standard/lps-115,Life insurance,Current,29 March 2023
Financial Resilience,Capital,LPS 340 Valuation of Policy Liabilities,LPS 340 Valuation of Policy Liabilities requires life insurers to calculate their policy liabilities using the prescribed method.,Prudential standard,LPS 340,https://handbook.apra.gov.au/standard/lps-340,Life insurance,Current,1 July 2023
Business Operations,Business Operations,SPS 114 Operational Risk Financial Requirement,"SPS 114 Operational Risk Financial Requirement requires RSE licensees to maintain, manage and utilise financial resources to protect beneficiaries from losses due to operational risks.",Prudential standard,SPS 114,https://handbook.apra.gov.au/standard/sps-114,Superannuation,Current,1 July 2025
Governance,Board,SPS 510 Governance,"SPS 510 Governance requires RSE licensees to maintain governance frameworks in line with their size, business mix and complexity.",Prudential standard,SPS 510,https://handbook.apra.gov.au/standard/sps-510,Superannuation,Current,30 June 2024
Governance,Accountability,SPS 520 Fit and Proper,SPS 520 Fit and Proper requires RSE licensees to determine the fitness and propriety of individuals in positions of responsibility.,Prudential standard,SPS 520,https://handbook.apra.gov.au/standard/sps-520,Superannuation,Current,30 June 2024
Governance,Actuarial,CPS 320 Actuarial and Related Matters,CPS 320 Actuarial and Related Matters requires all insurers to enable the Appointed Actuary to fulfil their legal responsibilities.,Prudential standard,CPS 320,https://handbook.apra.gov.au/standard/cps-320,"General insurance, Life insurance, Private health insurance",Current,1 January 2024
Governance,Audit,3PS 310 Audit and Related Matters,3PS 310 Audit and Related Matters requires Level 3 Heads to appoint an auditor to provide independent advice.,Prudential standard,3PS 310,https://handbook.apra.gov.au/standard/3ps-310,"Banking, General insurance, Life insurance",Current,1 July 2017
Governance,Audit,HPS 310 Audit and Related Matters,HPS 310 Audit and Related Matters requires private health insurers to appoint an auditor to provide independent advice.,Prudential standard,HPS 310,https://handbook.apra.gov.au/standard/hps-310,Private health insurance,Current,1 July 2023
Governance,Audit,LPS 310 Audit and Related Matters,LPS 310 Audit and Related Matters requires life insurers to enable the Auditor to fulfil its legal responsibilities.,Prudential standard,LPS 310,https://handbook.apra.gov.au/standard/lps-310,Life insurance,Current,18 December 2023
Financial Resilience,Capital,APS 116 Capital Adequacy: Market Risk,APS 116 Capital Adequacy: Market Risk requires ADIs to maintain adequate capital for market risk.,Prudential standard,APS 116,https://handbook.apra.gov.au/standard/aps-116,Banking,Current,1 January 2025
Financial Resilience,Capital,APS 121 Covered Bonds,APS 121 Covered Bonds requires ADIs to adopt policies and procedures to manage risks related to issuing covered bonds.,Prudential standard,APS 121,https://handbook.apra.gov.au/standard/aps-121,Banking,Current,1 January 2023
Governance,Audit,APS 310 Audit and Related Matters,APS 310 Audit and Related Matters requires ADIs to appoint an auditor to provide independent advice.,Prudential standard,APS 310,https://handbook.apra.gov.au/standard/aps-310,Banking,Current,1 January 2023
Governance,Remuneration,CPS 511 Remuneration,CPS 511 Remuneration requires entities to maintain a remuneration framework that meets prescribed objectives.,Prudential standard,CPS 511,https://handbook.apra.gov.au/standard/cps-511,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,1 January 2024
Governance,Accountability,CPS 520 Fit and Proper,CPS 520 Fit and Proper requires all entities (excluding RSE licensees) to determine the fitness and propriety of individuals in positions of responsibility.,Prudential standard,CPS 520,https://handbook.apra.gov.au/standard/cps-520,"Banking, General insurance, Life insurance, Private health insurance",Current,1 July 2019
Financial Resilience,Capital,APS 115 Capital Adequacy: Standardised Measurement Approach to Operational Risk,APS 115 Capital Adequacy: Standardised Measurement Approach to Operational Risk requires ADIs to maintain adequate capital for their operational risks.,Prudential standard,APS 115,https://handbook.apra.gov.au/standard/aps-115,Banking,Current,1 January 2023
Financial Resilience,Capital,APS 113 Capital Adequacy: Internal Ratings-based Approach to Credit Risk,Prudential Standard APS 113 Capital Adequacy: Internal Ratings-based Approach to Credit Risk requires IRB ADIs to maintain adequate capital for their credit risk exposures.,Prudential standard,APS 113,https://handbook.apra.gov.au/standard/aps-113,Banking,Current,30 September 2024
Financial Resilience,Capital,HPS 117 Capital Adequacy: Asset Concentration Risk Charge,HPS 117 Capital Adequacy: Asset Concentration Risk Charge requires private health insurers to maintain adequate capital for its asset concentration risks.,Prudential standard,HPS 117,https://handbook.apra.gov.au/standard/hps-117,Private health insurance,Current,1 July 2023
Financial Resilience,Capital,HPS 118 Capital Adequacy: Operational Risk Charge,HPS 118 Capital Adequacy: Operational Risk Charge requires private health insurers to maintain adequate capital for their operational risks.,Prudential standard,HPS 118,https://handbook.apra.gov.au/standard/hps-118,Private health insurance,Current,1 July 2023
Financial Resilience,Capital,HPS 114 Capital Adequacy: Asset Risk Charge,HPS 114 Capital Adequacy: Asset Risk Charge requires private health insurers to maintain adequate capital for their asset risks.,Prudential standard,HPS 114,https://handbook.apra.gov.au/standard/hps-114,Private health insurance,Current,1 July 2023
Financial Resilience,Capital,HPS 340 Insurance Liability Valuation,HPS 340 Insurance Liability Valuation requires private health insurer to calculate their insurance liabilities using the prescribed method.,Prudential standard,HPS 340,https://handbook.apra.gov.au/standard/hps-340,Private health insurance,Current,1 July 2023
Risk Management,Risk Management,CPS 220 Risk Management,CPS 220 Risk Management requires all entities (excluding RSE licensees) to maintain a risk management framework that covers all material risks.,Prudential standard,CPS 220,https://handbook.apra.gov.au/standard/cps-220,"Banking, General insurance, Life insurance, Private health insurance",Current,1 July 2019
Governance,Audit,SPS 310 Audit and Related Matters,SPS 310 Audit and Related Matters requires RSE licensees to appoint an auditor to provide independent advice.,Prudential standard,SPS 310,https://handbook.apra.gov.au/standard/sps-310,Superannuation,Current,30 June 2024
Governance,Accountability,SPS 521 Conflicts of Interest,SPS 521 Conflicts of Interest requires RSE licensees to have a conflicts management framework.,Prudential standard,SPS 521,https://handbook.apra.gov.au/standard/sps-521,Superannuation,Current,1 July 2013
Financial Resilience,Capital,GPS 110 Capital Adequacy,GPS 110 Capital Adequacy requires general insurers to maintain adequate capital for various risks.,Prudential standard,GPS 110,https://handbook.apra.gov.au/standard/gps-110,General insurance,Current,1 July 2023
Financial Resilience,Capital,LPS 112 Capital Adequacy: Measurement of Capital,LPS 112 Capital Adequacy: Measurement of Capital requires life insurers to ensure their capital base meets prescribed criteria.,Prudential standard,LPS 112,https://handbook.apra.gov.au/standard/lps-112,Life insurance,Current,1 October 2024
Financial Resilience,Capital,GPS 120 Assets in Australia,GPS 120 Assets in Australia requires general insurers to use the prescribed method to value its assets in Australia.,Prudential standard,GPS 120,https://handbook.apra.gov.au/standard/gps-120,General insurance,Current,1 July 2019
Financial Resilience,Capital,GPS 340 Insurance Liability Valuation,GPS 340 Insurance Liability Valuation requires general insurers to calculate their insurance liabilities using the prescribed method.,Prudential standard,GPS 340,https://handbook.apra.gov.au/standard/gps-340,General insurance,Current,1 July 2023
Financial Resilience,Capital,LPS 100 Solvency Standard,LPS 100 Solvency Standard requires life insurers to maintain minimum amounts of capital for solvency purposes.,Prudential standard,LPS 100,https://handbook.apra.gov.au/standard/lps-100,Life insurance,Current,29 March 2023
Financial Resilience,Capital,LPS 110 Capital Adequacy,LPS 110 Capital Adequacy requires life insurers to maintain adequate capital for various risks.,Prudential standard,LPS 110,https://handbook.apra.gov.au/standard/lps-110,Life insurance,Current,1 July 2023
Financial Resilience,Other,LPS 370 Cost of Investment Performance Guarantees,LPS 370 Cost of Investment Performance Guarantees requires life insurers to calculate the cost of investment performance guarantees in a specific way.,Prudential standard,LPS 370,https://handbook.apra.gov.au/standard/lps-370,Life insurance,Current,29 March 2023
Financial Resilience,Other,LPS 700 Friendly Society Benefit Funds,LPS 700 Friendly Society Benefit Funds requires friendly societies to meet prescribed requirements for approved benefit funds.,Prudential standard,LPS 700,https://handbook.apra.gov.au/standard/lps-700,Life insurance,Current,1 July 2019
Financial Resilience,Other,LPS 600 Statutory Funds,LPS 600 Statutory Funds requires life insurers to meet prescribed requirements for statutory funds.,Prudential standard,LPS 600,https://handbook.apra.gov.au/standard/lps-600,Life insurance,Current,1 July 2023
Governance,Board,CPS 510 Governance,"CPS 510 Governance requires all entities (excluding RSE licensees) to maintain a governance framework in line with their size, type and complexity.",Prudential standard,CPS 510,https://handbook.apra.gov.au/standard/cps-510,"Banking, General insurance, Life insurance, Private health insurance",Current,1 January 2024
Risk Management,Credit Risk,3PS 222 Intra-group Transaction and Exposures,3PS 222 Intra-group Transactions and Exposures requires Level 3 Heads to manage risks from associations between group members.,Prudential standard,3PS 222,https://handbook.apra.gov.au/standard/3ps-222,"Banking, General insurance, Life insurance",Current,1 July 2017
Risk Management,Insurance Risk,GPS 230 Reinsurance Management,GPS 230 Reinsurance Management requires general insurers to maintain a reinsurance management framework.,Prudential standard,GPS 230,https://handbook.apra.gov.au/standard/gps-230,General insurance,Current,1 July 2023
Risk Management,Risk Management,SPS 220 Risk Management,SPS 220 Risk Management requires RSE licensees to maintain a risk management framework.,Prudential standard,SPS 220,https://handbook.apra.gov.au/standard/sps-220,Superannuation,Current,1 January 2020
Risk Management,Market Risk,CPS 226 Margining and Risk Mitigation for Non-Centrally Cleared Derivatives,CPS 226 Margining and Risk Mitigation for Non-Centrally Cleared Derivatives requires entities to meet prescribed margining requirements.,Prudential standard,CPS 226,https://handbook.apra.gov.au/standard/cps-226,"Banking, General insurance, Life insurance, Superannuation",Current,1 January 2023
Risk Management,Credit Risk,3PS 221 Aggregate Risk Exposures,3PS 221 Aggregate Risk Exposures requires level 3 heads to manage their group's aggregated external exposures.,Prudential standard,3PS 221,https://handbook.apra.gov.au/standard/3ps-221,"Banking, General insurance, Life insurance",Current,1 July 2017
Risk Management,Insurance Risk,LPS 230 Reinsurance Management,LPS 230 Reinsurance Management requires life insurers to make annual reports to APRA about their reinsurance arrangements.,Prudential standard,LPS 230,https://handbook.apra.gov.au/standard/lps-230,Life insurance,Current,1 April 2018
Recovery and Resolution,Resolution,CPS 900 Resolution Planning,"CPS 900 Resolution Planning requires significant financial institutions (SFIs), and other institutions that provide critical functions, to plan for resolution.",Prudential standard,CPS 900,https://handbook.apra.gov.au/standard/cps-900,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,1 January 2024
Recovery and Resolution,Resolution,APS 910 Financial Claims Scheme,APS 910 Financial Claims Scheme requires ADIs to be prepared to support APRA's administration of the Financial Claims Scheme (FCS).,Prudential standard,APS 910,https://handbook.apra.gov.au/standard/aps-910,Banking,Current,1 October 2023
Risk Management,Operational Risk,CPS 234 Information Security,CPS 234 Information Security requires entities to maintain information security capability.,Prudential standard,CPS 234,https://handbook.apra.gov.au/standard/cps-234,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,1 July 2019
Risk Management,Credit Risk,APS 222 Associations with Related Entities,APS 222 Associations with Related Entities requires ADIs to manage risks from their associations with related entities.,Prudential standard,APS 222,https://handbook.apra.gov.au/standard/aps-222,Banking,Current,1 January 2022
Risk Management,Credit Risk,APS 220 Credit Risk Management,APS 220 Credit Risk Management requires ADIs to maintain a credit risk management framework.,Prudential standard,APS 220,https://handbook.apra.gov.au/standard/aps-220,Banking,Current,1 January 2023
Financial Resilience,Capital,APS 111 Capital Adequacy: Measurement of Capital,APS 111 Capital Adequacy: Measurement of Capital requires ADIs to ensure regulatory capital meets prescribed criteria.,Prudential standard,APS 111,https://handbook.apra.gov.au/standard/aps-111,Banking,Current,1 July 2025
Business Operations,Business Operations,SPS 515 Strategic Planning and Member Outcomes,SPS 515 Strategic Planning and Member Outcomes requires RSE licensees to align Business Operations with their strategic objectives and member outcomes.,Prudential standard,SPS 515,https://handbook.apra.gov.au/standard/sps-515,Superannuation,Current,1 July 2025
Financial Resilience,Other,"LPS 360 Termination Values, Minimum Surrender Values and Paid-up Values","LPS 360 Termination Values, Minimum Surrender Values and Paid-up Values requires life insurers to use a prescribed method to calculate various values.",Prudential standard,LPS 360,https://handbook.apra.gov.au/standard/lps-360,Life insurance,Current,29 March 2023
Financial Resilience,Other,APS 610 Prudential Requirements for Providers of Purchased Payments Facilities,APS 610 Purchased Payment Facilities requires purchased payment facility providers to meet  requirements in line with their risk profile.,Prudential standard,APS 610,https://handbook.apra.gov.au/standard/aps-610,Banking,Current,11 May 2023
Financial Resilience,Capital,APS 112 Capital Adequacy: Standardised Approach to Credit Risk,APS 112 Capital Adequacy: Standardised Approach to Credit Risk requires ADIs to maintain adequate capital for its credit risk exposures.,Prudential standard,APS 112,https://handbook.apra.gov.au/standard/aps-112,Banking,Current,1 July 2025
Governance,Audit,GPS 310 Audit and Related Matters,GPS 310 Audit and Related Matters requires general insurers or level 2 insurance groups to enable the Appointed Auditor to fulfil their legal responsibilities.,Prudential standard,GPS 310,https://handbook.apra.gov.au/standard/gps-310,General insurance,Current,1 October 2024
Financial Resilience,Capital,HPS 112 Capital Adequacy: Measurement of Capital,HPS 112 Capital Adequacy: Measurement of Capital requires private health insurers to ensure their capital base meets prescribed criteria.,Prudential standard,HPS 112,https://handbook.apra.gov.au/standard/hps-112,Private health insurance,Current,1 January 2025
Recovery and Resolution,Recovery,CPS 190 Recovery and Exit Planning,"CPS 190 Recovery and Exit Planning requires entities to maintain a credible recovery and exit plan.
It applies to ADIs and insurers from 1 January 2024, and to RSE licensees from 1 January 2025.",Prudential standard,CPS 190,https://handbook.apra.gov.au/standard/cps-190,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,1 January 2024
Financial Resilience,Capital,APS 180 Capital Adequacy: Counterparty Credit Risk,APS 180 Capital Adequacy: Counterparty Credit Risk requires ADIs to maintain adequate capital for their counterparty credit risks.,Prudential standard,APS 180,https://handbook.apra.gov.au/standard/aps-180,Banking,Current,1 January 2024
Financial Resilience,Capital,APS 120 Securitisation,APS 120 Securitisation requires ADIs to maintain adequate capital for the risks associated with securitisation.,Prudential standard,APS 120,https://handbook.apra.gov.au/standard/aps-120,Banking,Current,1 January 2024
Risk Management,Operational Risk,CPS 230 Operational Risk Management,This standard requires an entity to effectively manage its operational risks.,Prudential standard,CPS 230,https://handbook.apra.gov.au/standard/cps-230,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,1 July 2025
Governance,Disclosure,APS 330 Public Disclosure,"APS 330 Public Disclosure requires ADIs to publish key information on financial metrics, risk profile and financial resilience.",Prudential standard,APS 330,https://handbook.apra.gov.au/standard/aps-330,Banking,Current,1 January 2025
Financial Resilience,Capital,APS 110 Capital Adequacy,APS 110 Capital Adequacy requires ADIs to maintain adequate capital for various risks.,Prudential standard,APS 110,https://handbook.apra.gov.au/standard/aps-110,Banking,Current,1 January 2025
Recovery and Resolution,Recovery,GPS 410 Transfer and Amalgamation of Insurance Business for General Insurers,GPS 410 Transfer and Amalgamation of Insurance Business requires general insurers to inform specific stakeholders about any transfers or amalgamations.,Prudential standard,GPS 410,https://handbook.apra.gov.au/standard/gps-410,General insurance,Current,1 January 2026
Financial Resilience,Liquidity,APS 210 Liquidity,APS 210 Liquidity requires ADIs to have stable funding and manage their liquidity risks. ADIs must maintain enough liquidity to meet their obligations.,Prudential standard,APS 210,https://handbook.apra.gov.au/standard/aps-210,Banking,Current,1 July 2025
Financial Resilience,Capital,HPS 115 Capital Adequacy: Insurance Risk Charge,HPS 115 Capital Adequacy: Insurance Risk Charge requires private health insurers to maintain adequate capital for their insurance risks.,Prudential standard,HPS 115,https://handbook.apra.gov.au/standard/hps-115,Private health insurance,Current,1 January 2026
Financial Resilience,Capital,APS 117 Interest Rate Risk in the Banking Book,APS 117 Capital Adequacy: Interest Rate Risk in the Banking Book requires some ADIs to maintain adequate capital for its interest rate risk.,Prudential standard,APS 117,https://handbook.apra.gov.au/standard/aps-117,Banking,Current,1 October 2025
Risk Management,Credit Risk,APS 221 Large Exposures,APS 221 Large Exposures requires ADIs to manage their large exposures and risk concentrations.,Prudential standard,APS 221,https://handbook.apra.gov.au/standard/aps-221,Banking,Current,1 January 2023
Governance,Definitions,CPS 001 Defined terms,CPS 001 centralises defined terms that support the interpretation of the ADI and insurance prudential frameworks.,Prudential standard,CPS 001,https://handbook.apra.gov.au/standard/cps-001,"Banking, General insurance, Life insurance, Private health insurance",Current,1 January 2026
Governance,Accountability,SPS 520 Fit and Proper,SPS 520 Fit and Proper requires RSE licensees to determine the fitness and propriety of individuals in positions of responsibility.,Prudential standard,SPS 520,https://handbook.apra.gov.au/standard/sps-520-superseded,Superannuation,Superseded,1 July 2013
Governance,Audit,SPS 310 Audit and Related Matters,SPS 310 Audit and Related Matters requires RSE licensees to appoint an auditor to provide independent advice.,Prudential standard,SPS 310,https://handbook.apra.gov.au/standard/sps-310-superseded,Superannuation,Superseded,30 June 2023
Governance,Board,SPS 510 Governance,"SPS 510 Governance requires RSE licensees to maintain governance frameworks in line with their size, business mix and complexity.",Prudential standard,SPS 510,https://handbook.apra.gov.au/standard/sps-510-superseded,Superannuation,Superseded,1 January 2024
Financial Resilience,Capital,APS 113 Capital Adequacy: Internal Ratings-based Approach to Credit Risk,APS 113 Capital Adequacy: Internal Ratings-based Approach to Credit Risk requires ADIs to maintain adequate capital for their credit risk exposures.,Prudential standard,APS 113,https://handbook.apra.gov.au/standard/aps-113-superseded,Banking,Superseded,1 January 2023
Financial Resilience,Capital,APS 112 Capital Adequacy: Standardised Approach to Credit Risk,APS 112 Capital Adequacy: Standardised Approach to Credit Risk requires ADIs to maintain adequate capital for its credit risk exposures.,Prudential standard,APS 112,https://handbook.apra.gov.au/standard/aps-112-superseded,Banking,Superseded,1 January 2023
Governance,Definitions,GPS 001 Definitions,GPS 001 Definitions defines key terms used in prudential standards that apply to general insurers and authorised non-operating holding companies.,Prudential standard,GPS 001,https://handbook.apra.gov.au/standard/gps-001-superseded,General insurance,Superseded,1 July 2023
Governance,Definitions,LPS 001 Definitions,LPS 001 Definitions defines key terms used in prudential standards that apply to life companies and registered non-operating holding companies.,Prudential standard,LPS 001,https://handbook.apra.gov.au/standard/lps-001-superseded,Life insurance,Superseded,1 July 2023
Governance,Definitions,HPS 001 Definitions,HPS 001 Definitions defines key terms used in prudential standards that apply to private health insurers.,Prudential standard,HPS 001,https://handbook.apra.gov.au/standard/hps-001-superseded,Private health insurance,Superseded,1 July 2023
Financial Resilience,Capital,HPS 112 Capital Adequacy: Measurement of Capital,HPS 112 Capital Adequacy: Measurement of Capital requires private health insurers to ensure their capital base meets prescribed criteria.,Prudential standard,HPS 112,https://handbook.apra.gov.au/standard/hps-112-superseded,Private health insurance,Superseded,1 July 2023
Financial Resilience,Capital,LPS 112 Capital Adequacy: Measurement of Capital,LPS 112 Capital Adequacy: Measurement of Capital requires life insurers to ensure their capital base meets prescribed criteria.,Prudential standard,LPS 112,https://handbook.apra.gov.au/standard/lps-112-superseded,Life insurance,Superseded,1 July 2023
Governance,Definitions,3PS 001 Definitions,3PS 001 Definitions defines key terms used in prudential standards that apply to level 3 heads.,Prudential standard,3PS 001,https://handbook.apra.gov.au/standard/3ps-001-superseded,"Banking, General insurance, Life insurance",Superseded,1 July 2017
Governance,Audit,GPS 310 Audit and Related Matters,GPS 310 Audit and Related Matters requires general insurers or level 2 insurance groups to enable the Appointed Auditor to fulfil its legal responsibilities.,Prudential standard,GPS 310,https://handbook.apra.gov.au/standard/gps-310-superseded,General insurance,Superseded,1 July 2019
Financial Resilience,Capital,LPS 117 Capital Adequacy: Asset Concentration Risk Charge,LPS 117 Capital Adequacy: Asset Concentration Risk Charge requires life insurers to maintain adequate capital for its asset concentration risks.,Prudential standard,LPS 117,https://handbook.apra.gov.au/standard/lps-117-superseded,Life insurance,Superseded,1 July 2023
Governance,Definitions,APS 001 Definitions,APS 001 Definitions defines key terms used in prudential standards that apply to ADIs and authorised non-operating holding companies.,Prudential standard,APS 001,https://handbook.apra.gov.au/standard/aps-001-superseded,Banking,Superseded,30 September 2022
Governance,Disclosure,APS 330 Public Disclosure,APS 330 Public Disclosure requires ADIs to publicly disclose key information on financial metrics and remuneration practices.,Prudential standard,APS 330,https://handbook.apra.gov.au/standard/aps-330-superseded,Banking,Superseded,28 February 2023
Financial Resilience,Capital,APS 110 Capital Adequacy,APS 110 Capital Adequacy requires ADIs to maintain adequate capital for various risks.,Prudential standard,APS 110,https://handbook.apra.gov.au/standard/aps-110-superseded,Banking,Superseded,1 January 2023
Financial Resilience,Capital,APS 116 Capital Adequacy: Market Risk,APS 116 Capital Adequacy: Market Risk requires ADIs to maintain adequate capital for market risk.,Prudential standard,APS 116,https://handbook.apra.gov.au/standard/aps-116-superseded-0,Banking,Superseded,1 January 2025
Financial Resilience,Capital,HPS 112 Capital Adequacy: Measurement of Capital,HPS 112 Capital Adequacy: Measurement of Capital requires private health insurers to ensure their capital base meets prescribed criteria.,Prudential standard,HPS 112,https://handbook.apra.gov.au/standard/hps-112-superseded-0,Private health insurance,Superseded,1 October 2024
Financial Resilience,Capital,APS 117 Capital Adequacy: Interest Rate Risk in the Banking Book (Advanced ADIs),APS 117 Capital Adequacy: Interest Rate Risk in the Banking Book requires some ADIs to maintain adequate capital for their interest rate risk.,Prudential standard,APS 117,https://handbook.apra.gov.au/standard/aps-117-superseded,Banking,Superseded,1 January 2013
Financial Resilience,Capital,APS 116 Capital Adequacy: Market Risk,APS 116 Capital Adequacy: Market Risk requires ADIs to maintain adequate capital for market risk.,Prudential standard,APS 116,https://handbook.apra.gov.au/standard/aps-116-superseded,Banking,Superseded,1 January 2023
Financial Resilience,Capital,HPS 110 Capital Adequacy,HPS 110 Capital Adequacy requires private health insurers maintain adequate capital for various risks.,Prudential standard,HPS 110,https://handbook.apra.gov.au/standard/hps-110-superseded,Private health insurance,Superseded,1 July 2023
Financial Resilience,Capital,APS 112 Capital Adequacy: Standardised Approach to Credit Risk,Prudential Standard APS 112 Capital Adequacy: Standardised Approach to Credit Risk requires ADIs to maintain adequate capital for its credit risk exposures.,Prudential standard,APS 112,https://handbook.apra.gov.au/standard/aps-112-superseded-0,Banking,Superseded,30 September 2024
Business Operations,Business Operations,SPS 114 Operational Risk Financial Requirement,SPS 114 Operational Risk Financial Requirement requires RSE licensees to maintain adequate financial resources for their operational risks.,Prudential standard,SPS 114,https://handbook.apra.gov.au/standard/sps-114-superseded,Superannuation,Superseded,1 July 2013
Risk Management,Operational Risk,SPS 231 Outsourcing,SPS 231 Outsourcing requires RSE licensees to manage risks from outsourced business activities.,Prudential standard,SPS 231,https://handbook.apra.gov.au/standard/sps-231-superseded,Superannuation,Superseded,1 July 2013
Risk Management,Operational Risk,SPS 232 Business Continuity Management,SPS 232 Business Continuity Management requires RSE licensees to plan for business disruptions.,Prudential standard,SPS 232,https://handbook.apra.gov.au/standard/sps-232-superseded,Superannuation,Superseded,1 July 2013
Financial Resilience,Capital,APS 111 Capital Adequacy: Measurement of Capital,APS 111 Capital Adequacy: Measurement of Capital requires ADIs to ensure regulatory capital meets prescribed criteria.,Prudential standard,APS 111,https://handbook.apra.gov.au/standard/aps-111-superseded,Banking,Superseded,1 January 2023
Financial Resilience,Liquidity,APS 210 Liquidity,APS 210 Liquidity requires ADIs to have stable funding and manage their liquidity risks. ADIs must maintain enough liquidity to meet their obligations.,Prudential standard,APS 210,https://handbook.apra.gov.au/standard/aps-210-superseded,Banking,Superseded,1 January 2023
Risk Management,Operational Risk,CPS 231 Outsourcing,"CPS 231 Outsourcing requires ADIs, general insurers and life insurers to manage risks from outsourced business activities.",Prudential standard,CPS 231,https://handbook.apra.gov.au/standard/cps-231-superseded,"Banking, General insurance, Life insurance",Superseded,1 July 2017
Risk Management,Operational Risk,CPS 232 Business Continuity Management,"CPS 232 Business Continuity Management requires ADIs, general insurers and life insurers to plan for business disruptions.",Prudential standard,CPS 232,https://handbook.apra.gov.au/standard/cps-232-superseded,"Banking, General insurance, Life insurance",Superseded,1 July 2017
